city,state,zipcode,address,scan_date
Birmingham,AL,35203,"2125 2nd Ave N, Birmingham, AL 35203",2022-11-09 18:03:43
2000 Pelham Parkway,AL,35244,"2000 Pelham Parkway, AL 35244",2022-11-09 18:03:43
Fultondale,AL,35068,"1600 Main St, Fultondale, AL 35068",2022-11-09 18:03:43
Birmingham,AL,35222,"4414 4th Ave 5, Birmingham, AL 35222",2022-11-09 18:03:43
Birmingham,AL,35235,"3720 Mary Taylor Road, Birmingham, AL 35235",2022-11-09 18:03:43
Hueytown,AL,35023,"275 Forest Rd, Hueytown, AL 35023",2022-11-09 18:03:43
Hoover,AL,35244,"2943 John Hawkins Pkwy, Hoover, AL 35244",2022-11-09 18:03:43
Hoover,AL,35244,"3000 Riverchase Galleria Space E, Hoover, AL 35244",2022-11-09 18:03:43
Hoover,AL,35244,"181 Main St, Hoover, AL 35244",2022-11-09 18:03:43
Alabaster,AL,35007,"140 Market Center Drive, Alabaster, AL 35007",2022-11-09 18:03:43
Birmingham,AL,35209,"932 Oxmoor Rd, Birmingham, AL 35209",2022-11-09 18:03:43
Hoover,AL,35244,"2657 Valleydale Rd, Hoover, AL 35244",2022-11-09 18:03:43
Birmingham,AL,35233,"1801 4th Avenue South, Ste 115, Birmingham, AL 35233",2022-11-09 18:03:43
Rainbow City,AL,35906,"3506 Rainbow Drive, Rainbow City, AL 35906",2022-11-09 18:03:43
Trussville,AL,35235,"5974 Chalkville Mountain Road, Trussville, AL 35235",2022-11-09 18:03:43
Birmingham,AL,35235,"2050 Gadsden Highway, Suite 100, Birmingham, AL 35235",2022-11-09 18:03:43
Anniston,AL,36206,"4 East 43rd Street, Anniston, AL 36206",2022-11-09 18:03:43
Attalla,AL,35954,"701 Gilbert Ferry Road Southeast, Attalla, AL 35954",2022-11-09 18:03:43
Birmingham,AL,35215,"1653 Center Point Road, Birmingham, AL 35215",2022-11-09 18:03:43
Dothan,AL,36303,"3431 Ross Clark Circle, Dothan, AL 36303",2022-11-09 18:03:43
Mobile,AL,36619,"5452 U.S. 90, Mobile, AL 36619",2022-11-09 18:03:43
Vestavia Hills,AL,35243,"2531 Rocky Ridge Rd, Vestavia Hills, AL 35243",2022-11-09 18:03:43
Birmingham,AL,35209,"2101 Richard Arrington Jr Blvd S, Birmingham, AL 35209",2022-11-09 18:03:43
BIRMINGHAM,AL,35210,"1632 Montclair Road, Suite 500, BIRMINGHAM, AL 35210",2022-11-09 18:03:43
Hoover,AL,35244,"3032 John Hawkins Parkway, 130, Hoover, AL 35244",2022-11-09 18:03:43
Birmingham,AL,35208,"1371 Bessemer Road, Birmingham, AL 35208",2022-11-09 18:03:43
Birmingham,AL,35205,"1024 20th Street South Unit 101, Birmingham, AL 35205",2022-11-09 18:03:43
Dothan,AL,36303,"1550 Westgate Pkwy Suite 1,2,3, Dothan, AL 36303",2022-11-09 18:03:43
Birmingham,AL,35215,"9345 Parkway E, Birmingham, AL 35215",2022-11-09 18:03:43
Trussville,AL,35235,"1880 Gadsden Hwy, Trussville, AL 35235",2022-11-09 18:03:43
Dothan,AL,36301,"2115 East Main St, Suite 8, Dothan, AL 36301",2022-11-09 18:03:43
Alabaster,AL,35007,"750 Colonial Promenade Parkway, Suite 5200, Alabaster, AL 35007",2022-11-09 18:03:43
Birmingham,AL,35233,"514 16th Street South, Birmingham, AL 35233",2022-11-09 18:03:43
Birmingham,AL,35208,"2231 Bessemer Rd, Birmingham, AL 35208",2022-11-09 18:03:43
Alabaster,AL,35007,"780 Colonial Promenade Pkwy, Alabaster, AL 35007",2022-11-09 18:03:43
Birmingham,AL,35243,"216 Summit Blvd Ste 135, Birmingham, AL 35243",2022-11-09 18:03:43
Birmingham,AL,35207,"224 Daniel Payne Drive, Birmingham, AL 35207",2022-11-09 18:03:43
Pinson,AL,35126,"4701 Center Point Road, Pinson, AL 35126",2022-11-09 18:03:43
Birmingham,AL,35233,"1801 4th Ave S, Birmingham, AL 35233",2022-11-09 18:03:43
